Field,Species,Experiment,Revised_irrigation_treatment,Range,Column,Plot,Rep,Type,SbEMS_ID,PI_accession,Harvest_Id,PI_check,,
south,Sorghum bicolor,EMS_pop,WW,02,26,0226,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,02,27,0227,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,02,28,0228,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,02,29,0229,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,02,30,0230,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,02,31,0231,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,02,32,0232,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,03,01,0301,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,03,02,0302,1,experimental,511,PI 677929,WL19_FL58_SbEMS_BL200,PI 677929,,
south,Sorghum bicolor,EMS_pop,WW,03,03,0303,1,experimental,317,PI 677911,WL19_FL58_SbEMS_BL283,PI 677911,,
south,Sorghum bicolor,EMS_pop,WW,03,04,0304,1,experimental,3762,PI 678266,WL19_FL58_SbEMS_BL508,PI 678266,,
south,Sorghum bicolor,EMS_pop,WW,03,05,0305,1,experimental,2313,PI 678118,WL19_FL58_SbEMS_BL428,PI 678118,,
south,Sorghum bicolor,EMS_pop,WW,03,06,0306,1,experimental,321,PI 677912,WL19_FL58_SbEMS_BL242,PI 677912,,
south,Sorghum bicolor,EMS_pop,WW,03,07,0307,1,experimental,3221,PI 678212,WL19_FL58_SbEMS_BL244,PI 678212,,
south,Sorghum bicolor,EMS_pop,WW,03,08,0308,1,experimental,2713,PI 678155,WL19_FL58_SbEMS_BL137,PI 678155,,
south,Sorghum bicolor,EMS_pop,WW,03,09,0309,1,experimental,878,PI 677971,WL19_FL58_SbEMS_BL306,PI 677971,,
south,Sorghum bicolor,EMS_pop,WW,03,10,0310,1,experimental,4309,PI 678319,WL19_FL58_SbEMS_BL175,PI 678319,,
south,Sorghum bicolor,EMS_pop,WW,03,11,0311,1,experimental,2360,PI 678122,WL19_FL58_SbEMS_BL267,PI 678122,,
south,Sorghum bicolor,EMS_pop,WW,03,12,0312,1,experimental,393,PI 677916,WL19_FL58_SbEMS_BL82,PI 677916,,
south,Sorghum bicolor,EMS_pop,WW,03,13,0313,1,experimental,588,PI 677940,WL19_FL58_SbEMS_BL354,PI 677940,,
south,Sorghum bicolor,EMS_pop,WW,03,14,0314,1,experimental,2852,PI 678168,WL19_FL58_SbEMS_BL213,PI 678168,,
south,Sorghum bicolor,EMS_pop,WW,03,15,0315,1,experimental,394,PI 677917,WL19_FL58_SbEMS_BL44,PI 677917,,
south,Sorghum bicolor,EMS_pop,WW,03,16,0316,1,experimental,538,PI 677934,WL19_FL58_SbEMS_BL596,PI 677934,,
south,Sorghum bicolor,EMS_pop,WW,03,17,0317,1,experimental,3515,PI 678239,WL19_FL58_SbEMS_BL393,PI 678239,,
south,Sorghum bicolor,EMS_pop,WW,03,18,0318,1,experimental,2306,PI 678113,WL19_FL58_SbEMS_BL30,PI 678113,,
south,Sorghum bicolor,EMS_pop,WW,03,19,0319,1,experimental,3609,PI 678247,WL19_FL58_SbEMS_BL75,PI 678247,,
south,Sorghum bicolor,EMS_pop,WW,03,20,0320,1,experimental,459,PI 677926,WL19_FL58_SbEMS_BL318,PI 677926,,
south,Sorghum bicolor,EMS_pop,WW,03,21,0321,1,experimental,1610,PI 678049,WL19_FL58_SbEMS_BL167,PI 678049,,
south,Sorghum bicolor,EMS_pop,WW,03,22,0322,1,experimental,647,PI 677951,WL19_FL58_SbEMS_BL510,PI 677951,,
south,Sorghum bicolor,EMS_pop,WW,03,23,0323,1,experimental,1614,PI 678052,WL19_FL58_SbEMS_BL45,PI 678052,,
south,Sorghum bicolor,EMS_pop,WW,03,24,0324,1,experimental,3862,PI 678281,WL19_FL58_SbEMS_BL503,PI 678281,,
south,Sorghum bicolor,EMS_pop,WW,03,25,0325,1,experimental,1297,PI 678016,WL19_FL58_SbEMS_BL293,PI 678016,,
south,Sorghum bicolor,EMS_pop,WW,03,26,0326,1,experimental,3224,PI 678214,WL19_FL58_SbEMS_BL162,PI 678214,,
south,Sorghum bicolor,EMS_pop,WW,03,27,0327,1,experimental,3808,PI 678272,WL19_FL58_SbEMS_BL265,PI 678272,,
south,Sorghum bicolor,EMS_pop,WW,03,28,0328,1,experimental,1043,PI 677990,WL19_FL58_SbEMS_BL143,PI 677990,,
south,Sorghum bicolor,EMS_pop,WW,03,29,0329,1,experimental,1984,PI 678084,WL19_FL58_SbEMS_BL594,PI 678084,,
south,Sorghum bicolor,EMS_pop,WW,03,30,0330,1,experimental,2034,PI 678088,WL19_FL58_SbEMS_BL435,PI 678088,,
south,Sorghum bicolor,EMS_pop,WW,03,31,0331,1,experimental,1299,PI 678017,WL19_FL58_SbEMS_BL255,PI 678017,,
south,Sorghum bicolor,EMS_pop,WW,03,32,0332,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,04,01,0401,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,04,02,0402,1,experimental,2571,PI 678137,WL19_FL58_SbEMS_BL261,PI 678137,,
south,Sorghum bicolor,EMS_pop,WW,04,03,0403,1,experimental,3217,PI 678209,WL19_FL58_SbEMS_BL361,PI 678209,,
south,Sorghum bicolor,EMS_pop,WW,04,04,0404,1,experimental,459,PI 677926,WL19_FL58_SbEMS_BL318,PI 677926,,
south,Sorghum bicolor,EMS_pop,WW,04,05,0405,1,experimental,815,PI 677968,WL19_FL58_SbEMS_BL426,PI 677968,,
south,Sorghum bicolor,EMS_pop,WW,04,06,0406,1,experimental,1504,PI 678035,WL19_FL58_SbEMS_BL129,PI 678035,,
south,Sorghum bicolor,EMS_pop,WW,04,07,0407,1,experimental,3761,PI 678265,WL19_FL58_SbEMS_BL546,PI 678265,,
south,Sorghum bicolor,EMS_pop,WW,04,08,0408,1,experimental,397,PI 677919,WL19_FL58_SbEMS_BL598,PI 677919,,
south,Sorghum bicolor,EMS_pop,WW,04,09,0409,1,experimental,3563,PI 678244,WL19_FL58_SbEMS_BL196,PI 678244,,
south,Sorghum bicolor,EMS_pop,WW,04,10,0410,1,experimental,2309,PI 678115,WL19_FL58_SbEMS_BL547,PI 678115,,
south,Sorghum bicolor,EMS_pop,WW,04,11,0411,1,experimental,2248,PI 678110,WL19_FL58_SbEMS_BL151,PI 678110,,
south,Sorghum bicolor,EMS_pop,WW,04,12,0412,1,experimental,8,PI 677886,WL19_FL58_SbEMS_BL92,PI 677886,,
south,Sorghum bicolor,EMS_pop,WW,04,13,0413,1,experimental,1147,PI 678001,WL19_FL58_SbEMS_BL298,PI 678001,,
south,Sorghum bicolor,EMS_pop,WW,04,14,0414,1,experimental,2251,PI 678112,WL19_FL58_SbEMS_BL71,PI 678112,,
